seqid	taxid	species
12511	5476	candida albicans
12515	5476	candida albicans
12516	5476	candida albicans
1252	5476	candida albicans
12520	5476	candida albicans
12521	5476	candida albicans
12523	5476	candida albicans
12524	5476	candida albicans
12529	5476	candida albicans
12534	5476	candida albicans
12537	5476	candida albicans
12538	5476	candida albicans
1254	5476	candida albicans
12542	5476	candida albicans
12543	5476	candida albicans
12544	5476	candida albicans
12548	5476	candida albicans
1255	5476	candida albicans
12551	5476	candida albicans
12555	5476	candida albicans
12563	5476	candida albicans
12566	5476	candida albicans
1257	5476	candida albicans
12572	5476	candida albicans
12574	5476	candida albicans
12577	5476	candida albicans
12579	5476	candida albicans
1258	5476	candida albicans
12580	5476	candida albicans
12581	5476	candida albicans
12582	5476	candida albicans
12584	5476	candida albicans
12585	5476	candida albicans
12586	5476	candida albicans
1259	5476	candida albicans
12591	5476	candida albicans
12596	5476	candida albicans
1260	5476	candida albicans
12600	5476	candida albicans
12601	5476	candida albicans
12603	5476	candida albicans
12604	5476	candida albicans
12605	5476	candida albicans
12608	5476	candida albicans
1261	5476	candida albicans
12611	5476	candida albicans
12616	5476	candida albicans
12619	5476	candida albicans
12622	5476	candida albicans
